date,gprnk,gprnk_negative,gprnk_positive,threat,sanction,talks,economic_cooperation,gprnk_raw
1995-01-01,66.36,48.4235,136.4962,49.4925,31.7307,105.5943,282.6767,55.8033
1995-02-01,81.7314,54.1261,101.9411,58.2062,9.5657,77.5929,182.2649,63.3428
1995-03-01,69.3272,60.3415,136.2722,64.8938,15.5395,108.9314,243.4965,56.2168
1995-04-01,86.7928,59.7438,93.1355,63.9095,24.6951,93.5581,76.1649,65.9562
1995-05-01,69.625,47.8573,127.0319,50.8882,16.525,118.243,143.5411,57.8046
1995-06-01,50.3977,27.0782,181.3995,27.3813,14.0885,170.6304,249.9169,41.3175
1995-07-01,58.7559,24.8549,147.4559,25.7288,21.4471,131.5402,311.1944,52.5555
1995-08-01,70.0935,23.842,110.6822,25.4028,11.3276,94.4907,181.7219,62.4181
1995-09-01,77.0378,26.6395,94.0163,26.925,20.1773,79.2838,161.1698,67.6695
1995-10-01,85.9395,44.0564,85.3214,46.9478,9.6488,71.0651,156.4375,76.9773
1995-11-01,69.8423,46.0387,123.3511,48.0225,18.6376,99.4709,283.4146,64.5584
1995-12-01,126.6239,113.093,59.926,119.2811,30.0931,45.7913,107.8573,113.7847
1996-01-01,96.5351,60.3485,77.9333,63.1359,22.1514,76.024,82.1188,88.3283
1996-02-01,108.8413,50.2059,50.5102,46.6398,50.2278,39.4467,93.037,97.7871
1996-03-01,97.6419,79.0894,87.5408,85.1646,8.7767,88.5075,78.6819,91.9148
1996-04-01,90.7154,124.0743,122.571,131.7432,54.1896,119.3834,126.2265,94.8353
1996-05-01,79.6343,52.9196,107.0525,53.1978,38.4363,99.0254,141.1427,73.0981
1996-06-01,89.6059,38.6891,77.6121,37.8712,22.2755,68.295,92.8866,81.0689
1996-07-01,76.6248,36.1001,103.2638,35.9342,21.0106,74.2824,234.8055,67.87
1996-08-01,93.5924,28.698,64.6621,30.7892,9.3987,46.7495,154.1132,86.4143
1996-09-01,103.1739,80.8602,79.3419,85.2394,38.6023,49.7944,196.9344,100.2901
1996-10-01,138.0036,162.972,75.4377,174.8452,37.0865,66.8236,110.2156,132.6111
1996-11-01,76.5685,88.2801,132.7127,89.4384,43.7957,133.2644,183.4219,74.8997
1996-12-01,95.1632,56.9746,73.5072,57.3885,47.2396,68.6143,110.4579,86.862
1997-01-01,71.9689,40.8428,108.9797,38.2105,42.4927,101.2111,140.3138,65.5869
1997-02-01,97.0429,36.9754,55.1165,37.5505,22.6262,51.6795,56.3244,88.5011
1997-03-01,84.6457,29.1543,75.7859,29.4216,13.476,68.6151,99.9438,79.5515
1997-04-01,91.7707,58.6271,76.1967,60.7006,27.8445,70.0723,92.8451,86.4897
1997-05-01,93.1253,49.525,69.157,52.5834,11.8872,67.2312,60.6727,80.7511
1997-06-01,95.6768,77.3034,77.9375,83.9926,5.7556,74.1928,97.2175,90.8647
1997-07-01,134.6105,145.4912,64.0837,157.2337,12.7544,64.7747,57.2263,131.7693
1997-08-01,84.0479,40.4826,78.7835,40.8188,25.8829,76.1609,71.5142,80.1862
1997-09-01,97.3607,54.6707,62.6348,56.7706,28.4225,53.0106,97.0335,87.2919
1997-10-01,90.9566,48.6131,70.6139,50.2965,26.6277,62.2502,100.8479,89.281
1997-11-01,76.2273,32.5566,90.116,33.6292,25.7062,91.3195,76.9708,70.9748
1997-12-01,70.8667,30.544,104.271,32.5568,12.2051,104.0441,117.2143,69.9968
1998-01-01,73.4045,35.9763,98.6953,39.2491,16.0421,77.5035,185.8967,69.8694
1998-02-01,72.7944,16.6443,92.7083,16.8106,11.8135,86.4694,161.1969,65.0793
